BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,2905,28, ,A9,1665 WASHINGTON AVENUE                   ,            ,10457,1,0,1,"4,750","2,619",1899, 	1 ,A9,$0,8/7/15
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,2905,28, ,A9,1665 WASHINGTON AVENUE                   ,            ,10457,1,0,1,"4,750","2,619",1899, 	1 ,A9,$0,8/7/15
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3035,2, ,S1,441 EAST 178 STREET                      ,            ,10457,1,1,2,"1,287","2,528",1899, 	1 ,S1,$0,12/18/15
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3039,28, ,A1,2329 WASHINGTON AVE                      ,            ,10458,1,0,1,"1,103","1,290",1910, 	1 ,A1,"$300,000",2/20/15
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3039,36, ,S1,455 EAST 184 STREET                      ,            ,10458,1,1,2,"2,500","2,452",1910, 	1 ,S1,$0,8/18/15
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3039,36, ,S1,455 EAST 184 STREET                      ,            ,10458,1,1,2,"2,500","2,452",1910, 	1 ,S1,"$400,000",7/1/15
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3053,87, ,S0,2368 WASHINGTON AVENUE                   ,            ,10458,1,2,3,"1,911","4,080",1931, 	1 ,S0,"$510,000",1/6/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,118, ,B1,1540 WASHINGTON AVENUE                   ,            ,10457,2,0,2,"2,000","2,400",1993, 	1 ,B1,$0,12/12/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,139, ,B1,3823 3 AVENUE                            ,            ,10457,2,0,2,"2,000","2,400",1993, 	1 ,B1,"$430,000",8/4/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,152, ,B1,517 EAST 171 STREET                      ,            ,10457,2,0,2,"2,000","2,400",1993, 	1 ,B1,"$10,000",6/2/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2929,118, ,B1,3862 3RD AVENUE                          ,            ,10457,2,0,2,"2,451","2,394",1995, 	1 ,B1,"$389,000",1/29/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2929,126, ,B1,1557 FULTON AVENUE                       ,            ,10457,2,0,2,"3,165","2,394",1995, 	1 ,B1,"$505,000",8/5/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2929,126, ,B1,1557 FULTON AVENUE                       ,            ,10457,2,0,2,"3,165","2,394",1995, 	1 ,B1,"$250,000",2/19/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,151, ,S2,2264 WEBSTER AVENUE                      ,            ,10457,2,1,3,"1,620","3,240",1931, 	1 ,S2,"$490,000",9/28/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,202, ,B3,4465 PARK AVE                            ,            ,10457,2,0,2,"1,569","1,497",1899, 	1 ,B3,"$1,000",12/28/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,202, ,B3,4465 PARK AVE                            ,            ,10457,2,0,2,"1,569","1,497",1899, 	1 ,B3,"$1,000",10/20/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,203, ,B3,4461 PARK AVENUE                         ,            ,10457,2,0,2,"1,592","1,860",1899, 	1 ,B3,"$100,000",8/20/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3035,140, ,B1,1983 WASHINGTON AVENUE                   ,            ,10457,2,0,2,"4,124","2,340",1998, 	1 ,B1,"$228,000",11/16/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3036,16, ,B2,4354 PARK AVENUE                         ,            ,10457,2,0,2,"3,525","2,316",1899, 	1 ,B2,"$128,778",5/29/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3036,58, ,B1,465 EAST 179 STREET                      ,            ,10457,2,0,2,"1,984","2,340",1998, 	1 ,B1,"$420,000",4/23/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,30, ,B1,469B EAST 184 STREET                     ,            ,10458,2,0,2,741,"2,133",2006, 	1 ,B1,$0,10/13/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,44, ,B1,444 EAST 186 STREET                      ,            ,10458,2,0,2,"2,000","2,060",1901, 	1 ,B1,$500,2/23/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3045,4, ,B1,2034 BATHGATE AVENUE                     ,            ,10457,2,0,2,"1,575","1,710",1998, 	1 ,B1,$0,9/9/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3047,9, ,B9,2122 WASHINGTON AVENUE                   ,            ,10457,2,0,2,"1,258","2,340",1901, 	1 ,B9,$10,1/19/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3050,65, ,B2,508 EAST 183 STREET                      ,            ,10458,2,0,2,"1,316","2,112",1901, 	1 ,B2,"$449,000",6/8/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3050,93, ,B2,2238 BASSFORD AVENUE                     ,            ,10457,2,0,2,"1,301","2,300",1901, 	1 ,B2,"$261,000",9/25/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3053,5, ,B9,509 EAST 183 STREET                      ,            ,10458,2,0,2,"1,420","2,805",1901, 	1 ,B9,"$393,600",4/1/15
