BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,2905,28, ,A9,1665 WASHINGTON AVENUE                   ,            ,10457,1,0,1,"4,750","2,619",1899, 	1 ,A9,$0,10/18/06
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3029,60, ,A1,4327 PARK AVENUE                         ,            ,10457,1,0,1,"2,500","1,496",1901, 	1 ,A1,"$288,990",10/24/06
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3030,59, ,A1,418 EAST 182 STREET                      ,            ,10457,1,0,1,"1,165","1,488",1899, 	1 ,A1,"$205,000",3/14/06
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3030,64, ,A1,4457 PARK AVENUE                         ,            ,10457,1,0,1,"2,378","1,668",1899, 	1 ,A1,"$340,000",3/28/06
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3035,5, ,A9,451 EAST 178TH STREET                    ,            ,10457,1,0,1,"1,287","1,992",1899, 	1 ,A9,"$120,000",5/11/06
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,  ,3038,34, ,  ,2263 WASHINGTON AVENUE                   ,            ,10457,0,0,0,0,0,0, 	1 ,A1,$0,10/13/06
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,  ,3038,34, ,  ,2263 WASHINGTON AVENUE                   ,            ,10457,0,0,0,0,0,0, 	1 ,A1,$0,10/13/06
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3046,34, ,A1,2085 BATHGATE AVENUE                     ,            ,10457,1,0,1,"2,060","1,629",1899, 	1 ,A1,"$315,000",3/30/06
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,19, ,A5,2186 BATHGATE                            ,            ,10457,1,0,1,"1,768","1,188",1901, 	1 ,A5,"$395,000",12/4/06
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,27, ,A1,538 EAST 182 STREET                      ,            ,10457,1,0,1,"1,209","1,048",1901, 	1 ,A1,"$365,000",9/29/06
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,27, ,A1,538 EAST 182 STREET                      ,            ,10457,1,0,1,"1,209","1,048",1901, 	1 ,A1,"$215,000",6/6/06
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,28, ,A1,540 EAST 182 STREET                      ,            ,10457,1,0,1,"1,209","1,048",1901, 	1 ,A1,"$365,000",12/7/06
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,28, ,A1,540 EAST 182 STREET                      ,            ,10457,1,0,1,"1,209","1,048",1901, 	1 ,A1,"$332,000",8/17/06
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,53, ,S1,4411 THIRD AVENUE                        ,            ,10457,1,1,2,"2,569","3,750",1931, 	1 ,S1,"$390,000",3/9/06
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,  ,3050,72, ,  ,2273 BATHGATE AVENUE                     ,            ,10457,0,0,0,0,0,0, 	1 ,A1,"$800,000",4/21/06
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2907,26, ,B2,440 EAST 175 STREET                      ,            ,10457,2,0,2,"1,182","2,502",1901, 	1 ,B2,"$299,000",2/10/06
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2908,35, ,B2,1833 WASHINGTON AVENUE                   ,            ,10457,2,0,2,"2,800","1,360",1931, 	1 ,B2,$0,2/27/06
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2912,147, ,B1,3805 THIRD AVENUE                        ,            ,10457,2,0,2,"2,000","2,400",1993, 	1 ,B1,$0,5/2/06
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2912,149, ,B1,523 EAST 171ST STREET                    ,            ,10457,2,0,2,"2,000","2,400",1993, 	1 ,B1,"$430,000",1/30/06
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2929,125, ,B1,1559 FULTON AVENUE                       ,            ,10457,2,0,2,"3,165","2,394",1995, 	1 ,B1,"$400,000",12/13/06
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,60, ,B3,4469 PARK AVENUE                         ,            ,10457,2,0,2,"1,542","1,542",1899, 	1 ,B3,"$450,000",6/20/06
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,61, ,B3,4467 PARK AVENUE                         ,            ,10457,2,0,2,"1,556","1,494",1899, 	1 ,B3,"$440,000",10/31/06
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,76, ,B2,4435 PARK AVENUE                         ,            ,10457,2,0,2,"2,444","2,125",1899, 	1 ,B2,"$474,226",10/13/06
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3034,36, ,B1,1945 WASHINGTON AVENUE                   ,            ,10457,2,0,2,"3,197","3,204",1995, 	1 ,B1,"$460,000",3/23/06
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3035,27, ,B1,454 EAST 179 STREET                      ,            ,10457,2,0,2,"1,819","2,340",1998, 	1 ,B1,"$385,000",9/18/06
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3035,127, ,B1,456 EAST 179 STREET                      ,            ,10457,2,0,2,"1,790","2,340",1998, 	1 ,B1,$0,10/6/06
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,16, ,B2,4354 PARK AVENUE                         ,            ,10457,2,0,2,"3,525","2,316",1899, 	1 ,B2,"$489,000",9/29/06
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,16, ,B2,4354 PARK AVENUE                         ,            ,10457,2,0,2,"3,525","2,316",1899, 	1 ,B2,$0,7/24/06
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1B,3036,35, ,V0,2087 WASHINGTON AVENUE                   ,            ,10457,0,0,0,"2,099",0,0, 	1 ,B3,"$470,000",2/9/06
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,43, ,B1,2057 WASHINGTON AVENUE                   ,            ,10457,2,0,2,"3,323","3,438",1997, 	1 ,B1,"$475,000",4/27/06
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,65, ,B1,455 EAST 179TH STREET                    ,            ,10457,2,0,2,"2,033","2,340",1998, 	1 ,B1,"$453,500",5/4/06
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3037,1, ,S2,441 EAST 180TH STREET                    ,            ,10457,2,1,3,"1,166","3,306",1946, 	1 ,S2,"$90,000",11/15/06
