BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,2908,25, ,A1,460 E176TH STREET                        ,            ,10457,1,0,1,"2,580","2,070",1910, 	1 ,A1,$0,11/6/08
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3039,28, ,A1,2329 WASHINGTON AVENUE                   ,            ,10458,1,0,1,"1,103","1,290",1910, 	1 ,A1,"$370,000",5/27/08
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3039,29, ,A9,2327 WASHINGTON AVE                      ,            ,10458,1,0,1,"1,095","1,260",1910, 	1 ,A9,"$360,000",4/18/08
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3043,56, ,A1,1950 BATHGATE AVENUE                     ,            ,10457,1,0,1,"2,356","2,048",1901, 	1 ,A1,$0,9/3/08
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3046,34, ,A1,2085 BATHGATE                            ,            ,10457,1,0,1,"2,060","1,629",1899, 	1 ,A1,"$274,764",8/4/08
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3047,11, ,A1,482 EAST 181 STREET                      ,            ,10457,1,0,1,"1,556","1,240",1901, 	1 ,A1,"$283,000",6/11/08
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3053,105, ,A1,2323 BASSFORD AVENUE                     ,            ,10458,1,0,1,922,"1,248",1901, 	1 ,A1,"$250,000",8/4/08
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2897,51, ,S2,1688 WEBSTER AVENUE                      ,            ,10457,2,1,3,"2,250","3,750",1899, 	1 ,S2,$0,12/10/08
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2897,51, ,S2,1688 WEBSTER AVENUE                      ,            ,10457,2,1,3,"2,250","3,750",1899, 	1 ,S2,"$449,167",12/10/08
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3029,33, ,B2,412 EAST 180 STREET                      ,            ,10457,2,0,2,"2,046","2,112",1899, 	1 ,B2,"$76,050",9/24/08
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,60, ,B3,4469 PARK AVENUE                         ,            ,10457,2,0,2,"1,542","1,542",1899, 	1 ,B3,"$419,000",4/30/08
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,61, ,B3,4467 PARK AVENUE                         ,            ,10457,2,0,2,"1,556","1,494",1899, 	1 ,B3,"$510,000",1/18/08
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,71, ,B2,4443 PARK AVENUE                         ,            ,10457,2,0,2,"2,352","1,632",1899, 	1 ,B2,$500,2/4/08
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,149, ,S2,2260 WEBSTER AVE                         ,            ,10457,2,1,3,"1,620","3,240",1931, 	1 ,S2,"$499,000",2/21/08
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,149, ,S2,2260 WEBSTER AVE                         ,            ,10457,2,1,3,"1,620","3,240",1931, 	1 ,S2,$0,2/21/08
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,165, ,B2,4515 PARK AVENUE                         ,            ,10457,2,0,2,"1,936","3,240",1901, 	1 ,B2,"$433,500",12/10/08
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,165, ,B2,4515 PARK AVENUE                         ,            ,10457,2,0,2,"1,936","3,240",1901, 	1 ,B2,$0,1/30/08
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3035,46, ,S2,1967 WASHINGTON AVENUE                   ,            ,10457,2,1,3,"2,728","2,826",1899, 	1 ,S2,"$502,000",6/13/08
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3035,129, ,B1,460 EAST 179TH STREET                    ,            ,10457,2,0,2,"1,790","2,340",1998, 	1 ,B1,"$275,409",10/24/08
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3035,131, ,B1,464 EAST 179TH                           ,            ,10457,2,0,2,"1,790","2,340",1998, 	1 ,B1,$0,3/31/08
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3035,131, ,B1,464 EAST 179TH                           ,            ,10457,2,0,2,"1,790","2,340",1998, 	1 ,B1,$0,2/13/08
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3035,138, ,B1,1987 WASHINGTON AVE                      ,            ,10457,2,0,2,"2,910","2,340",1998, 	1 ,B1,"$400,000",12/9/08
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,33, ,B3,2091 WASHINGTON AVENUE                   ,            ,10457,2,0,2,"2,022","3,854",1899, 	1 ,B3,"$153,000",12/11/08
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,33, ,B3,2091 WASHINGTON AVENUE                   ,            ,10457,2,0,2,"2,022","3,854",1899, 	1 ,B3,$0,12/11/08
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,33, ,B3,2091 WASHINGTON AVENUE                   ,            ,10457,2,0,2,"2,022","3,854",1899, 	1 ,B3,"$374,928",7/21/08
