BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3030,64, ,A1,4457 PARK AVENUE                         ,            ,10457,1,0,1,"2,378","1,668",1899, 	1 ,A1,$0,11/18/04
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3034,49, ,S1,463 EAST TREMONT AVENUE                  ,            ,10457,1,1,2,"5,362","3,184",1931, 	1 ,S1,"$170,000",10/12/04
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3035,8, ,A1,4272 PARK AVENUE                         ,            ,10457,1,0,1,"7,483","2,409",1899, 	1 ,A1,"$250,000",11/30/04
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3036,14, ,A9,4350 PARK AVENUE                         ,            ,10457,1,0,1,"3,525","1,904",1899, 	1 ,A9,$0,3/10/04
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3039,64, ,A1,467 EAST 185 STREET                      ,            ,10458,1,0,1,"1,667","1,296",1910, 	1 ,A1,"$305,000",6/29/04
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3046,52, ,A1,2047 BATHGATE AVENUE                     ,            ,10457,1,0,1,"2,329","1,431",1901, 	1 ,A1,"$285,000",10/5/04
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,28, ,A1,540 EAST 182 STREET                      ,            ,10457,1,0,1,"1,209","1,048",1901, 	1 ,A1,"$195,000",11/1/04
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,28, ,A1,540 EAST 182 STREET                      ,            ,10457,1,0,1,"1,209","1,048",1901, 	1 ,A1,$0,10/22/04
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3053,81, ,S1,2350 WASHINGTON AVENUE                   ,            ,10458,1,1,2,"1,304","2,500",1931, 	1 ,S1,"$255,000",9/21/04
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3053,108, ,A9,2317 BASSFORD AVENUE                     ,            ,10458,1,0,1,925,"1,188",1901, 	1 ,A9,$10,9/20/04
