BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3035,5, ,A9,451 EAST 178 STREET                      ,            ,10457,1,0,1,"1,287","1,992",1899, 	1 ,A9,$0,12/7/09
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3046,42, ,A1,2069 BATHGATE AVENUE                     ,            ,10457,1,0,1,"1,964","1,424",1899, 	1 ,A1,$100,4/28/09
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3046,42, ,A1,2069 BATHGATE AVE                        ,            ,10457,1,0,1,"1,964","1,424",1899, 	1 ,A1,$100,4/13/09
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,19, ,A5,2186 BATHGATE AVENUE                     ,            ,10457,1,0,1,"1,768","1,188",1901, 	1 ,A5,"$345,752",3/16/09
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,28, ,A1,540 EAST 182ND STREET                    ,            ,10457,1,0,1,"1,209","1,048",1901, 	1 ,A1,$0,5/14/09
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3053,105, ,A1,2323 BASSFORD AVENUE                     ,            ,10458,1,0,1,922,"1,248",1901, 	1 ,A1,$0,1/22/09
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,71, ,B2,4443 PARK AVENUE                         ,            ,10457,2,0,2,"2,352","1,632",1899, 	1 ,B2,"$135,000",5/8/09
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,76, ,B2,4435 PARK AVENUE                         ,            ,10457,2,0,2,"2,444","2,125",1899, 	1 ,B2,"$325,000",3/30/09
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3035,131, ,B1,464 EAST 179TH                           ,            ,10457,2,0,2,"1,790","2,340",1998, 	1 ,B1,$0,10/7/09
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,33, ,B3,2091 WASHINGTON AVE                      ,            ,10457,2,0,2,"2,022","3,854",1899, 	1 ,B3,$0,5/8/09
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,62, ,B1,459 EAST 179 STREET                      ,            ,10457,2,0,2,"2,000","2,340",1998, 	1 ,B1,"$344,500",11/20/09
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,62, ,B1,459 EAST 179TH STREET                    ,            ,10457,2,0,2,"2,000","2,340",1998, 	1 ,B1,"$316,474",5/4/09
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3037,6, ,B2,4392 PARK AVENUE                         ,            ,10457,2,0,2,"2,275","3,240",1899, 	1 ,B2,"$359,038",1/19/09
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3039,12, ,B2,454 EAST 185TH STREET                    ,            ,10458,2,0,2,"1,667","1,944",1910, 	1 ,B2,"$183,028",11/2/09
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3039,45, ,B1,446 EAST 186 STREET                      ,            ,10458,2,0,2,"2,000","2,060",1901, 	1 ,B1,"$286,000",10/9/09
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3047,16, ,B2,2125 BATHGATE AVENUE                     ,            ,10457,2,0,2,"3,362","1,744",1901, 	1 ,B2,$0,4/3/09
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3050,94, ,B2,2240 BASSFORD AVENUE                     ,            ,10457,2,0,2,"1,300","2,300",1901, 	1 ,B2,"$389,000",7/28/09
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3053,22, ,S2,511 EAST 183 STREET                      ,            ,10458,2,1,3,"2,011","4,280",1901, 	1 ,S2,$1,11/18/09
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3053,22, ,S2,511 EAST 183RD STREET                    ,            ,10458,2,1,3,"2,011","4,280",1901, 	1 ,S2,"$415,440",8/24/09
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,2912,116, ,C0,1536 WASHINGTON AVENUE                   ,            ,10457,3,0,3,"2,000","2,400",1993, 	1 ,C0,"$319,500",10/7/09
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,2912,116, ,C0,1536 WASHINGTON AVENUE                   ,            ,10457,3,0,3,"2,000","2,400",1993, 	1 ,C0,$100,1/12/09
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3029,28, ,C0,2092 WEBSTER AVENUE                      ,            ,10457,3,0,3,"2,122","3,510",1899, 	1 ,C0,$0,11/18/09
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3037,67, ,C0,460 EAST 182 STREET                      ,            ,10457,3,0,3,"2,000","3,744",1899, 	1 ,C0,"$162,240",11/12/09
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3037,103, ,C0,2135 WASHINGTON AVENUE                   ,            ,10457,3,0,3,"1,701","4,600",2006, 	1 ,C0,"$630,000",7/17/09
