BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3037,42, ,A1,4428 PARK AVENUE                         ,            ,10457,1,0,1,"3,525","1,340",1899, 	1 ,A1,$0,2/8/11
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3039,64, ,A1,467 EAST 185 STREET                      ,            ,10458,1,0,1,"1,667","1,296",1910, 	1 ,A1,"$329,000",1/19/11
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3046,34, ,A1,2085 BATHGATE AV                         ,            ,10457,1,0,1,"2,060","1,629",1899, 	1 ,A1,"$288,500",6/29/11
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,28, ,A1,540 EAST 182ND STREET                    ,            ,10457,1,0,1,"1,209","1,048",1901, 	1 ,A1,"$122,500",3/21/11
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3053,103, ,A1,2327 BASSFORD AVENUE                     ,            ,10458,1,0,1,913,"1,248",1901, 	1 ,A1,$10,8/25/11
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2929,128, ,B1,559 CLAREMONT PARKWAY                    ,            ,10457,2,0,2,"2,361","2,394",1995, 	1 ,B1,"$365,000",7/13/11
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,76, ,B2,4435 PARK AVENUE                         ,            ,10457,2,0,2,"2,444","2,125",1899, 	1 ,B2,"$375,000",5/18/11
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3035,128, ,B1,458 EAST 179TH ST                        ,            ,10457,2,0,2,"1,790","2,340",1998, 	1 ,B1,$0,3/22/11
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,43, ,B1,2057 WASHINGTON AVENUE                   ,            ,10457,2,0,2,"3,323","3,438",1997, 	1 ,B1,"$360,000",6/29/11
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3037,6, ,B2,4392 PARK AVENUE                         ,            ,10457,2,0,2,"2,275","3,240",1899, 	1 ,B2,"$115,000",1/29/11
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3039,65, ,B2,465 E.185TH STREET                       ,            ,10458,2,0,2,"1,667","1,296",1910, 	1 ,B2,"$135,000",7/19/11
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3046,44, ,B1,2067 BATHGATE AVENUE                     ,            ,10457,2,0,2,"1,417","2,995",2009, 	1 ,B1,"$390,486",7/8/11
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3046,45, ,B1,2065 BATHGATE AVENUE                     ,            ,10457,2,0,2,"1,417","2,995",2009, 	1 ,B1,"$380,250",3/29/11
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3046,54, ,B2,2043 BATHGATE AVENUE                     ,            ,10457,2,0,2,"2,483","1,512",1901, 	1 ,B2,"$358,500",11/14/11
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3047,9, ,B9,2122 WASHINGTON AVENUE                   ,            ,10457,2,0,2,"1,258","2,340",1901, 	1 ,B9,"$355,643",5/16/11
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3050,36, ,B2,2253 BASSFORD AVENUE                     ,            ,10457,2,0,2,"1,935","1,610",1901, 	1 ,B2,"$325,000",3/28/11
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3053,22, ,S2,511 EAST 183 STREET                      ,            ,10458,2,1,3,"2,011","4,280",1901, 	1 ,S2,"$167,500",1/28/11
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3037,140, ,C0,2139 WASHINGTON AVENUE                   ,            ,10457,3,0,3,"2,670","2,970",1899, 	1 ,C0,"$459,000",10/4/11
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3044,51, ,C0,1966 BATHGATE AVENUE                     ,            ,10457,3,0,3,"2,880","3,132",1910, 	1 ,C0,"$425,000",5/13/11
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3044,56, ,C0,1976 BATHGATE AVENUE                     ,            ,10457,3,0,3,"1,493","2,430",1931, 	1 ,C0,"$292,500",1/24/11
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3050,3, ,C0,2190 WASHINGTON AVENUE                   ,            ,10457,3,0,3,"1,331","2,244",1901, 	1 ,C0,$0,6/9/11
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3050,5, ,C0,2194 WASHINGTON AVENUE                   ,            ,10457,3,0,3,"1,331","2,244",1901, 	1 ,C0,"$390,450",3/23/11
2,BATHGATE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,3050,30, ,V0,2259 BASSFORD AVENUE                     ,            ,10457,0,0,0,986,0,0, 	1 ,V0,$0,6/17/11
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3030,136, ,C1,405 EAST 182 STREET                      ,            ,10457,24,0,24,"4,500","20,250",1915, 	2 ,C1,"$1,500,000",6/21/11
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3032,56, ,C1,417 EAST 187 STREET                      ,            ,10458,8,0,8,"3,325","8,800",1910, 	2 ,C1,$0,12/19/11
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3034,47, ,C7,467 EAST TREMONT AVENUE                  ,            ,10455,26,2,28,"3,925","14,549",1931, 	2 ,C7,$0,6/17/11
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3035,23, ,C1,446 EAST 179 STREET                      ,            ,10457,8,0,8,"2,805","8,712",1910, 	2 ,C1,"$410,000",9/12/11
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3050,102, ,C1,2254 BASSFORD AVENUE                     ,            ,10457,8,0,8,"2,727","8,820",1910, 	2 ,C1,"$618,836",9/22/11
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3051,24, ,C7,2280 BATHGATE AVENUE                     ,            ,10457,20,1,21,"9,464","16,825",1911, 	2 ,C7,"$1,736,301",9/22/11
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3053,64, ,C1,490 EAST 184 STREET                      ,            ,10458,15,0,15,"3,408","15,375",1913, 	2 ,C1,"$1,149,604",10/4/11
2,BATHGATE                 ,10  COOPS - ELEVATOR APARTMENTS             ,2,3035,48, ,D4,"463 EAST 178TH STREET, 3F                ",            ,10457,0,0,0,0,0,1935, 	2 ,D4,"$33,000",12/23/11
2,BATHGATE                 ,10  COOPS - ELEVATOR APARTMENTS             ,2,3044,40, ,D4,"495 EAST 178TH STREET, 4E                ",            ,10457,0,0,0,0,0,1941, 	2 ,D4,"$25,050",9/28/11
2,BATHGATE                 ,14  RENTALS - 4-10 UNIT                     ,2A,3048,52, ,S4,4413 3 AVENUE                            ,            ,10457,4,1,5,"2,500","6,000",1931, 	2 ,S4,"$275,000",4/27/11
2,BATHGATE                 ,23  LOFT BUILDINGS                          ,4,2899,1, ,L8,1732 WEBSTER AVENUE                      ,            ,10457,0,1,1,"5,100","8,804",1930, 	4 ,L8,"$500,000",5/17/11
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3038,20, ,G7,456 EAST 183 STREET                      ,            ,10458,0,0,0,"1,485",0,0, 	4 ,G7,"$78,000",9/13/11
2,BATHGATE                 ,30  WAREHOUSES                              ,4,2907,6, ,E3,4044 PARK AVENUE                         ,            ,10457,0,1,1,"7,500","12,430",1925, 	4 ,E3,$0,2/8/11
2,BATHGATE                 ,30  WAREHOUSES                              ,4,2907,63, ,E3,410 EAST 174 STREET                      ,            ,10457,0,1,1,"5,029","5,000",1954, 	4 ,E3,$0,2/8/11
2,BATHGATE                 ,30  WAREHOUSES                              ,4,3036,10, ,E9,4340 PARK AVENUE                         ,            ,10457,0,1,1,"7,050","8,025",1931, 	4 ,E9,$0,6/1/11
2,BATHGATE                 ,30  WAREHOUSES                              ,4,3038,5, ,E3,4506 PARK AVENUE                         ,            ,10457,0,1,1,"8,889","8,590",1910, 	4 ,E3,"$2,145,000",5/6/11
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,4,3028,40, ,V1,412 ALDEN PLACE                          ,            ,10457,0,0,0,"1,428",0,0, 	4 ,V1,"$40,000",9/16/11
2,BATHGATE                 ,41  TAX CLASS 4 - OTHER                     ,4,3038,7, ,Z9,4510 PARK AVENUE                         ,            ,10457,0,0,0,"2,243",0,0, 	4 ,Z9,$0,5/6/11
2,BATHGATE                 ,41  TAX CLASS 4 - OTHER                     ,4,3038,8, ,Z9,PARK AVENUE                              ,            ,10457,0,0,0,"4,884",0,0, 	4 ,Z9,$0,5/6/11
2,BATHGATE                 ,41  TAX CLASS 4 - OTHER                     ,4,3038,9, ,Z9,PARK AVENUE                              ,            ,10457,0,0,0,"5,001",0,0, 	4 ,Z9,$0,5/6/11
2,BAYCHESTER               ,01  ONE FAMILY HOMES                        ,1,4707,20, ,A5,1139 EAST 212TH STREET                   ,            ,10469,1,0,1,"3,203","1,890",1945, 	1 ,A5,"$330,000",2/17/11
2,BAYCHESTER               ,01  ONE FAMILY HOMES                        ,1,4707,74, ,A5,1144 EAST 213 STREET                     ,            ,10469,1,0,1,"1,785","1,018",1945, 	1 ,A5,"$288,000",2/16/11
2,BAYCHESTER               ,01  ONE FAMILY HOMES                        ,1,4708,47, ,A5,1108 EAST 214 STREET                     ,            ,10469,1,0,1,"1,710","1,813",1945, 	1 ,A5,$0,2/22/11
2,BAYCHESTER               ,01  ONE FAMILY HOMES                        ,1,4708,48, ,A5,1110 E. 214TH STREET                     ,            ,10469,1,0,1,"1,710","1,813",1945, 	1 ,A5,"$130,000",2/22/11
2,BAYCHESTER               ,01  ONE FAMILY HOMES                        ,1,4711,48, ,A9,1323 NEEDHAM AVENUE                      ,            ,10469,1,0,1,"1,710","1,690",1955, 	1 ,A9,$0,3/18/11
2,BAYCHESTER               ,01  ONE FAMILY HOMES                        ,1,4711,96, ,A5,1323 HICKS STREET                        ,            ,10469,1,0,1,"1,995","1,701",1950, 	1 ,A5,"$180,000",9/22/11
2,BAYCHESTER               ,01  ONE FAMILY HOMES                        ,1,4715,66, ,A9,1128 EAST 221 STREET                     ,            ,10469,1,0,1,"1,746","1,690",1950, 	1 ,A9,"$285,000",11/22/11
2,BAYCHESTER               ,01  ONE FAMILY HOMES                        ,1,4722,3, ,A1,3529 EASTCHESTER ROAD                    ,            ,10469,1,0,1,"3,418","2,176",1915, 	1 ,A1,"$215,000",6/30/11
2,BAYCHESTER               ,01  ONE FAMILY HOMES                        ,1,4722,3, ,A1,3529 EASTCHESTER ROAD                    ,            ,10469,1,0,1,"3,418","2,176",1915, 	1 ,A1,"$170,000",6/30/11
2,BAYCHESTER               ,01  ONE FAMILY HOMES                        ,1,4724,21, ,A1,3453 KINGSLAND AVENUE                    ,            ,10469,1,0,1,"2,283","1,588",1910, 	1 ,A1,$0,2/17/11
2,BAYCHESTER               ,01  ONE FAMILY HOMES                        ,1,4724,21, ,A1,3453 KINGSLAND AVENUE                    ,            ,10469,1,0,1,"2,283","1,588",1910, 	1 ,A1,"$175,000",2/11/11
2,BAYCHESTER               ,01  ONE FAMILY HOMES                        ,1,4724,54, ,A9,3480 MICKLE AVENUE                       ,            ,10469,1,0,1,"1,879","1,900",1950, 	1 ,A9,"$295,000",12/12/11
2,BAYCHESTER               ,01  ONE FAMILY HOMES                        ,1,4725,46, ,A9,1451 HICKS STREET                        ,            ,10469,1,0,1,"1,710","1,890",1945, 	1 ,A9,"$185,500",3/3/11
2,BAYCHESTER               ,01  ONE FAMILY HOMES                        ,1,4727,8, ,A2,3535 KINGSLAND AVENUE                    ,            ,10469,1,0,1,"3,927","1,485",1930, 	1 ,A2,"$367,500",2/25/11
2,BAYCHESTER               ,01  ONE FAMILY HOMES                        ,1,4730,31, ,A1,1789 TILLOTSON AVENUE                    ,            ,10469,1,0,1,"3,016","1,672",1960, 	1 ,A1,"$287,000",3/31/11
2,BAYCHESTER               ,01  ONE FAMILY HOMES                        ,1,4734,50, ,A5,3314 BOUCK AVENUE                        ,            ,10469,1,0,1,"1,900","1,567",1940, 	1 ,A5,"$322,400",12/20/11
2,BAYCHESTER               ,01  ONE FAMILY HOMES                        ,1,4735,47, ,A5,3332 WILSON AVENUE                       ,            ,10469,1,0,1,"1,900","1,681",1930, 	1 ,A5,"$325,000",2/9/11
2,BAYCHESTER               ,01  ONE FAMILY HOMES                        ,1,4735,57, ,A5,3352 WILSON AVENUE                       ,            ,10469,1,0,1,"1,900","1,681",1930, 	1 ,A5,$0,11/1/11
