BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6365,44, ,S1,1690 86TH   STREET                       ,            ,11214,1,1,2,"1,473","1,656",1931, 	1 ,S1,"$680,000",6/30/10
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6366,69, ,A1,8658 BAY 16TH STREET                     ,            ,11214,1,0,1,"4,833","1,724",1930, 	1 ,A1,$0,6/18/10
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6366,69, ,A1,8658 BAY 16TH STREET                     ,            ,11214,1,0,1,"4,833","1,724",1930, 	1 ,A1,$0,5/26/10
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6370,66, ,A9,28 BAY 20TH STREET                       ,            ,11214,1,0,1,"2,417","1,584",1930, 	1 ,A9,$0,1/9/10
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6380,26, ,A9,33 BAY 29TH   STREET                     ,            ,11214,1,0,1,"2,465","2,043",1920, 	1 ,A9,"$618,000",11/2/10
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,  ,6397,6, ,  ,1611 BATH AVENUE                         ,            ,11214,0,0,0,0,0,0, 	1 ,A1,$0,9/22/10
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6398,39, ,A1,1638 BENSON AVENUE                       ,            ,11214,1,0,1,"3,625","1,825",1925, 	1 ,A1,$0,11/4/10
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6401,6, ,S1,1735 BATH AVENUE                         ,            ,11214,1,1,2,"1,112","1,520",1920, 	1 ,S1,"$470,000",6/11/10
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6408,48, ,S1,1967 BATH AVENUE                         ,            ,11214,1,1,2,"1,583","2,052",1920, 	1 ,S1,$0,6/23/10
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6408,49, ,S1,1965 BATH AVENUE                         ,            ,11214,1,1,2,"1,596","1,944",1920, 	1 ,S1,$0,6/23/10
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6409,35, ,A9,94 BAY 25TH STREET                       ,            ,11214,1,0,1,"1,440","1,281",1915, 	1 ,A9,$0,8/23/10
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6428,55, ,A1,202 BAY 11TH STREET                      ,            ,11228,1,0,1,"1,933","1,515",1920, 	1 ,A1,"$526,076",6/15/10
