BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,4,2900,58, ,K9,1872 WEBSTER AVENUE                      ,            ,10457,0,1,1,"2,300","3,542",1925, 	1 ,S1,"$400,000",1/19/05
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,2907,24, ,A1,4090 PARK AVENUE                         ,            ,10457,1,0,1,"2,500","1,474",1901, 	1 ,A1,$0,5/3/05
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,2908,25, ,A1,460 EAST 176TH STREET                    ,            ,10457,1,0,1,"2,580","2,070",1910, 	1 ,A1,$0,3/31/05
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,2917,1, ,S1,1810 WASHINGTON AVENUE                   ,            ,10457,1,1,2,"2,436","2,040",1901, 	1 ,S1,$0,7/26/05
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3029,35, ,A5,416 EAST 180 STREET                      ,            ,10457,1,0,1,"1,575","1,374",1899, 	1 ,A5,$0,8/25/05
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3029,36, ,A5,418 EAST 180 STREET                      ,            ,10457,1,0,1,"1,568","1,526",1899, 	1 ,A5,"$320,000",10/17/05
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3029,36, ,A5,418 EAST 180TH STREET                    ,            ,10457,1,0,1,"1,568","1,526",1899, 	1 ,A5,"$145,000",1/13/05
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3029,60, ,A1,4327 PARK AVENUE                         ,            ,10457,1,0,1,"2,500","1,496",1901, 	1 ,A1,"$283,000",8/25/05
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3030,59, ,A1,418 EAST 182 STREET                      ,            ,10457,1,0,1,"1,165","1,488",1899, 	1 ,A1,"$115,000",11/3/05
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3030,69, ,A1,4447 PARK AVENUE                         ,            ,10457,1,0,1,"1,668","1,497",1899, 	1 ,A1,$0,10/1/05
