BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,2907,23, ,A1,4088 PARK AVENUE                         ,            ,10457,1,0,1,"2,700","1,681",1901, 	1 ,A1,$0,3/24/03
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,2917,15, ,A1,1848 WASHINGTON AVENUE                   ,            ,10457,1,0,1,"2,943","2,128",1920, 	1 ,A1,"$130,000",5/27/03
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3028,25, ,A5,412 EAST 179 STREET                      ,            ,10457,1,0,1,"1,842","2,048",1901, 	1 ,A1,"$204,000",4/7/03
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3030,55, ,A5,410 EAST 182 STREET                      ,            ,10457,1,0,1,"1,330","1,460",1899, 	1 ,A1,"$235,000",7/24/03
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3035,2, ,S1,441 EAST 178 STREET                      ,            ,10457,1,1,2,"1,287","2,378",1899, 	1 ,S1,"$125,500",5/2/03
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3035,52, ,A1,461 EAST 178 STREET                      ,            ,10457,1,0,1,"1,782","1,548",1899, 	1 ,A1,"$215,000",5/14/03
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3045,15, ,A1,2058 BATHGATE AVENUE                     ,            ,10457,1,0,1,"1,173","1,516",1910, 	1 ,A1,$0,7/9/03
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,19, ,A5,2186 BATHGATE AVENUE                     ,            ,10457,1,0,1,"1,768","1,188",1901, 	1 ,A1,"$245,000",4/15/03
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3050,91, ,A9,503 EAST 182 STREET                      ,            ,10457,1,0,1,"1,960","1,705",1901, 	1 ,A9,$500,6/2/03
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3053,87, ,S0,2368 WASHINGTON AVENUE                   ,            ,10458,1,2,3,"1,911","4,080",1931, 	1 ,S0,"$375,000",4/8/03
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3053,108, ,A9,2317 BASSFORD AVENUE                     ,            ,10458,1,0,1,925,"1,188",1901, 	1 ,A9,$0,9/10/03
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2908,35, ,B2,1833 WASHINGTON AVENUE                   ,            ,10457,2,0,2,"2,800","1,360",1931, 	1 ,B2,"$300,000",12/12/03
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2912,113, ,B1,1530 WASHINGTON AVENUE                   ,            ,10457,2,0,2,"2,033","2,400",1993, 	1 ,B1,$0,5/29/03
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2912,114, ,B1,1532 WASHINGTON AVENUE                   ,            ,10457,2,0,2,"2,000","2,400",1993, 	1 ,B1,$0,3/5/03
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2912,117, ,B1,1538 WASHINGTON AVENUE                   ,            ,10457,2,0,2,"2,000","2,400",1993, 	1 ,B1,"$238,000",7/17/03
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2912,144, ,B1,3813 3 AVENUE                            ,            ,10457,2,0,2,"2,000","2,400",1993, 	1 ,B1,"$191,400",7/23/03
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2927,129, ,B1,1469 CROTONA PLACE                       ,            ,10456,2,0,2,"1,900","2,394",1994, 	1 ,B1,$0,11/14/03
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2927,130, ,B1,1467 CROTONA PLACE                       ,            ,10456,2,0,2,"1,900","2,394",1994, 	1 ,B1,"$161,065",7/30/03
