BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3030,59, ,A1,418 EAST 182 STREET                      ,            ,10457,1,0,1,"1,165","1,488",1899, 	1 ,A1,"$225,000",12/11/14
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1B,3035,42, ,V0,1979 WASHINGTON AVENUE                   ,            ,10457,1,0,1,"7,434",0,1899, 	1 ,A1,"$580,000",2/7/14
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3039,64, ,A1,467 EAST 185TH STREET                    ,            ,10458,1,0,1,"1,667","1,296",1910, 	1 ,A1,"$225,000",9/29/14
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3046,52, ,A1,2047 BATHGATE AVE                        ,            ,10457,1,0,1,"2,329","1,431",1901, 	1 ,A1,$10,1/22/14
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,117, ,B1,1538 WASHINGTON AVENUE                   ,            ,10457,2,0,2,"2,000","2,400",1993, 	1 ,B1,"$297,000",6/13/14
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,131, ,B1,484 CLAREMONT PARKWAY                    ,            ,10457,2,0,2,"2,000","2,400",1993, 	1 ,B1,"$390,000",10/17/14
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,152, ,B1,517 EAST 171 STREET                      ,            ,10457,2,0,2,"2,000","2,400",1993, 	1 ,B1,$0,5/9/14
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,60, ,B3,4469 PARK AVENUE                         ,            ,10457,2,0,2,"1,542","1,542",1899, 	1 ,B3,"$300,000",3/28/14
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3035,140, ,B1,1983 WASHINGTON AVENUE                   ,            ,10457,2,0,2,"4,124","2,340",1998, 	1 ,B1,$0,7/15/14
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3036,37, ,B2,2083 WASHINGTON AVENUE                   ,            ,10457,2,0,2,"2,500","2,772",1899, 	1 ,B2,"$525,200",12/29/14
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3036,37, ,B2,2083 WASHINGTON AVENUE                   ,            ,10457,2,0,2,"2,500","2,772",1899, 	1 ,B2,"$240,000",8/4/14
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3036,62, ,B1,459 EAST 179 STREET                      ,            ,10457,2,0,2,"2,000","2,340",1998, 	1 ,B1,"$380,000",1/14/14
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,6, ,B1,440 EAST 185TH ST                        ,            ,10458,2,0,2,"1,500","3,200",1997, 	1 ,B1,"$360,000",4/21/14
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,6, ,B1,440 EAST 185TH                           ,            ,10458,2,0,2,"1,500","3,200",1997, 	1 ,B1,"$360,000",1/28/14
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,30, ,B1,469B EAST 184 STREET                     ,            ,10458,2,0,2,741,"2,845",2006, 	1 ,B1,"$1,000",9/8/14
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,117, ,B1,448 EAST 185 STREET                      ,            ,10458,2,0,2,"1,500","2,400",1997, 	1 ,B1,"$385,000",12/12/14
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,130, ,B1,469A EAST 184TH STREET                   ,            ,10458,2,0,2,"1,016","1,050",2006, 	1 ,B1,"$312,000",11/5/14
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3040,5, ,S2,4654-4656 PARK AVENUE                    ,            ,10458,2,1,3,"5,000","5,881",1910, 	1 ,S2,"$370,000",4/24/14
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3041,7, ,S2,444 CYRUS PLACE                          ,            ,10458,2,1,3,"2,467","1,900",1910, 	1 ,S2,$0,11/12/14
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3044,167, ,B1,2008 BATHGATE AVENUE                     ,            ,10457,2,0,2,"2,520","2,340",1998, 	1 ,B1,$0,11/17/14
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3046,12, ,B9,2044 WASHINGTON AVENUE                   ,            ,10457,2,0,2,"1,625","1,804",1899, 	1 ,B9,$500,9/8/14
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3050,65, ,B2,508 EAST 183 STREET                      ,            ,10458,2,0,2,"1,316","2,816",1901, 	1 ,B2,"$165,000",8/13/14
